class,feature,min,max,mean,std,median,count
altowka,rise_time,0.005964,0.061247,0.020199,0.015193,0.014059,25
altowka,decay_time,0.000204,0.001247,0.000645,0.000271,0.000635,25
altowka,zcr,0.009000,0.051000,0.022320,0.011697,0.017000,25
altowka,even_components,7.422228,39.739794,21.293165,9.239653,19.415123,25
altowka,odd_components,6.423207,35.953911,21.322521,9.354627,19.565917,25
altowka,spectral_centroid,739.051205,1972.728752,1138.683911,289.362357,1081.030150,25
altowka,spectral_irregularity,0.612826,0.924521,0.798582,0.084303,0.805453,25
g_akustyczna,rise_time,0.013288,0.106349,0.061993,0.022936,0.060839,25
g_akustyczna,decay_time,0.000227,0.001995,0.000997,0.000473,0.000952,25
g_akustyczna,zcr,0.005000,0.166000,0.059100,0.058485,0.027000,25
g_akustyczna,even_components,15.228951,79.017455,30.989185,15.162301,27.308651,25
g_akustyczna,odd_components,15.184844,72.910025,29.901785,13.428411,26.806542,25
g_akustyczna,spectral_centroid,328.893917,2116.334069,1194.555280,505.988418,1246.971561,25
g_akustyczna,spectral_irregularity,0.556719,1.019317,0.864024,0.098604,0.861888,25
g_elektryczna,rise_time,0.006213,0.080249,0.027678,0.017487,0.021973,25
g_elektryczna,decay_time,0.000136,0.001859,0.000719,0.000432,0.000748,25
g_elektryczna,zcr,0.004000,0.058000,0.026520,0.018963,0.018000,25
g_elektryczna,even_components,14.503846,25.141773,18.896369,2.974165,18.568455,25
g_elektryczna,odd_components,12.972124,26.209426,18.899869,3.227298,18.526863,25
g_elektryczna,spectral_centroid,1489.974636,3453.077062,2269.460161,490.788696,2231.078763,25
g_elektryczna,spectral_irregularity,0.735304,0.983862,0.870690,0.060184,0.872482,25
kontrabas,rise_time,0.013991,0.068073,0.034979,0.018261,0.026463,24
kontrabas,decay_time,0.000658,0.003583,0.001806,0.000621,0.001655,24
kontrabas,zcr,0.003000,0.023000,0.008917,0.004977,0.009000,24
kontrabas,even_components,18.400859,76.848542,36.271712,14.907541,32.654458,24
kontrabas,odd_components,17.298323,67.229763,34.925553,13.378003,31.652161,24
kontrabas,spectral_centroid,364.314818,1213.070334,707.324799,174.962254,677.050966,24
kontrabas,spectral_irregularity,0.570746,0.942020,0.793306,0.108176,0.823821,24
skrzypce,rise_time,0.003968,0.036009,0.014551,0.008679,0.013719,25
skrzypce,decay_time,0.000204,0.000680,0.000458,0.000136,0.000431,25
skrzypce,zcr,0.015000,0.063000,0.028560,0.011847,0.025000,25
skrzypce,even_components,9.575383,43.978032,19.023080,7.273395,17.639350,25
skrzypce,odd_components,9.894661,49.144948,19.457498,7.731446,18.202163,25
skrzypce,spectral_centroid,733.103855,1722.917551,1161.722625,294.155268,1085.563599,25
skrzypce,spectral_irregularity,0.740632,0.985105,0.863771,0.069904,0.864675,25
